paper,section,question,option_A,option_B,option_C,option_D,correct,explain
Paper 1,Child Development & Pedagogy,Development that proceeds from the head downwards towards the feet is described by which principle?,Proximodistal principle,Cephalocaudal principle,Principle of integration,Principle of discontinuity,B,The cephalocaudal principle states that development proceeds from the head region downward toward the feet.
Paper 1,Child Development & Pedagogy,Development that proceeds from the centre of the body outward towards the limbs follows which principle?,Cephalocaudal principle,Proximodistal principle,Principle of recapitulation,Principle of uniformity,B,The proximodistal principle states that growth proceeds from the central part of the body outward to the extremities.
Paper 1,Child Development & Pedagogy,According to Piaget a child who believes the amount of water changes when poured into a taller glass has not yet developed,Object permanence,Conservation,Deferred imitation,Telegraphic speech,B,Conservation is the understanding that quantity stays the same despite changes in shape or appearance; it develops in the concrete operational stage.
Paper 1,Child Development & Pedagogy,A four year old says a button is alive because it helps hold her shirt together. Piaget would call this,Animistic thinking,Reversible thinking,Hypothetical reasoning,Conservation,A,Animistic thinking is attributing life or feelings to inanimate objects and is typical of the pre-operational stage.
Paper 1,Child Development & Pedagogy,The pre-operational stage in Piaget's theory roughly corresponds to which age range?,0 to 2 years,2 to 7 years,7 to 11 years,11 to 15 years,B,The pre-operational stage runs roughly from 2 to 7 years and is marked by symbolic play and egocentric thinking.
Paper 1,Child Development & Pedagogy,Logical thinking about concrete objects without abstract reasoning is the hallmark of which Piagetian stage?,Sensorimotor,Pre-operational,Concrete operational,Formal operational,C,In the concrete operational stage (about 7 to 11 years) children think logically about concrete situations but struggle with abstraction.
Paper 1,Child Development & Pedagogy,Vygotsky believed that a child's higher mental functions develop mainly through,Maturation alone,Social interaction with more knowledgeable others,Reinforcement schedules,Fixed genetic programming,B,Vygotsky's sociocultural theory holds that learning occurs through social interaction with more knowledgeable others.
Paper 1,Child Development & Pedagogy,Private speech where young children talk to themselves while solving a task is seen by Vygotsky as,A sign of cognitive delay,A tool for self-guidance and thinking,Pure imitation of adults,Meaningless babbling,B,Vygotsky viewed private speech as a tool children use to guide their own thinking and regulate their behaviour.
Paper 1,Child Development & Pedagogy,At the pre-conventional level of Kohlberg's theory moral decisions are based mainly on,Universal ethical principles,Avoiding punishment and seeking reward,Maintaining social order,Gaining others' approval,B,At the pre-conventional level morality is guided by consequences such as avoiding punishment and gaining rewards.
Paper 1,Child Development & Pedagogy,Carol Gilligan critiqued Kohlberg's theory of moral development primarily,For ignoring the perspective and moral voice of women,For relying only on animal studies,For overstating the role of genetics,For rejecting all stage theories,A,Gilligan argued Kohlberg's model was based largely on male samples and undervalued an ethic of care more common in women's reasoning.
Paper 1,Child Development & Pedagogy,A scientist relying on reasoning and problem solving shows high levels of which of Gardner's intelligences?,Spatial,Logical-mathematical,Bodily-kinaesthetic,Interpersonal,B,Logical-mathematical intelligence involves reasoning, problem solving and working with numbers and logic.
Paper 1,Child Development & Pedagogy,A sculptor skilled at using the hands to shape material shows high levels of which intelligence?,Linguistic,Bodily-kinaesthetic,Intrapersonal,Naturalistic,B,Bodily-kinaesthetic intelligence involves skilled use of the body and hands to create or perform.
Paper 1,Child Development & Pedagogy,Difficulty in learning and working with numbers despite adequate teaching is known as,Dyslexia,Dyscalculia,Dysgraphia,Dyspraxia,B,Dyscalculia is a specific learning difficulty affecting the understanding of numbers and mathematical operations.
